state,positive
Alaska,35720
Alabama,269877
Arkansas,170924
Arizona,364276
California,1341700
Colorado,260581
Connecticut,127715
Columbia,23136
Delaware,39912
Florida,1040727
Georgia,443822
Hawaii,18842
Iowa,213390
Idaho,109705
Illinois,787573
Indiana,381617
Kansas,168295
Kentucky,200632
Louisiana,251123
Massachusetts,256844
Maryland,215027
Maine,13348
Michigan,426576
Minnesota,350862
Missouri,322298
Mississippi,164931
Montana,67875
North Carolina,394990
North Dakota,82981
Nebraska,138568
New hampshire,24771
New jersey,368016
New mexico,108088
Nevada,168139
New York,705827
Ohio,475024
Oklahoma,216486
Oregon,84496
Pennsylvania,420114
Rhode island,62137
South carolina,232099
South dakota,85991
Tennessee,400594
Texas,1249323
Utah,215407
Virginia,255053
Vermont,5015
Washington,175793
Wisconsin,441067
West Virginia,54997
Wyoming,36317
