date,state,positive,,,,,,,,,,
Nov.,Alabama,228373,,,,,,,,,,
Oct.,Alabama,190496,,,,,,,,,,
Sep.,Alabama,154701,,,,,,,,,,
Aug.,Alabama,125235,,,,,,,,,,
Jul.,Alabama,85762,,,,,,,,,,
Jun.,Alabama,38045,,,,,,,,,,
May,Alabama,17359,,,,,,,,,,
Apr.,Alabama,7019,,,,,,,,,,
Dec.,Alaska,34963,,,,,,,,,,
Nov.,Alaska,25369,,,,,,,,,,
Oct.,Alaska,14858,,,,,,,,,,
Sep.,Alaska,7889,,,,,,,,,,
Aug.,Alaska,5250,,,,,,,,,,
Jul.,Alaska,2887,,,,,,,,,,
Jun.,Alaska,944,,,,,,,,,,
May,Alaska,435,,,,,,,,,,
Apr.,Alaska,355,,,,,,,,,,
Dec.,Arizona,358900,,,,,,,,,,
Nov.,Arizona,291696,,,,,,,,,,
Oct.,Arizona,244045,,,,,,,,,,
Sep.,Arizona,218507,,,,,,,,,,
Aug.,Arizona,201661,,,,,,,,,,
Jul.,Arizona,170798,,,,,,,,,,
Jun.,Arizona,79215,,,,,,,,,,
May,Arizona,19255,,,,,,,,,,
Apr.,Arizona,7648,,,,,,,,,,
Nov.,Arkansas,141916,,,,,,,,,,
Oct.,Arkansas,110874,,,,,,,,,,
Sep.,Arkansas,83697,,,,,,,,,,
Aug.,Arkansas,60856,,,,,,,,,,
Jul.,Arkansas,41759,,,,,,,,,,
Jun.,Arkansas,20777,,,,,,,,,,
May,Arkansas,7013,,,,,,,,,,
Apr.,Arkansas,3255,,,,,,,,,,
Dec.,California,1311625,,,,,,,,,,
Nov.,California,1072272,,,,,,,,,,
Oct.,California,916918,,,,,,,,,,
Sep.,California,810625,,,,,,,,,,
Aug.,California,699909,,,,,,,,,,
Jul.,California,485502,,,,,,,,,,
Jun.,California,228732,,,,,,,,,,
May,California,106878,,,,,,,,,,
Apr.,California,48917,,,,,,,,,,
Dec.,Colorado,257347,,,,,,,,,,
Nov.,Colorado,188566,,,,,,,,,,
Oct.,Colorado,104426,,,,,,,,,,
Sep.,Colorado,70536,,,,,,,,,,
Aug.,Colorado,57223,,,,,,,,,,
Jul.,Colorado,46204,,,,,,,,,,
Jun.,Colorado,32715,,,,,,,,,,
May,Colorado,26098,,,,,,,,,,
Apr.,Colorado,15284,,,,,,,,,,
Dec.,Columbia,22872,,,,,,,,,,
Nov.,Connecticut,101469,,,,,,,,,,
Oct.,Connecticut,71207,,,,,,,,,,
Sep.,Connecticut,57550,,,,,,,,,,
Aug.,Connecticut,52495,,,,,,,,,,
Jul.,Connecticut,49670,,,,,,,,,,
Jun.,Connecticut,46514,,,,,,,,,,
May,Connecticut,42022,,,,,,,,,,
Apr.,Connecticut,27700,,,,,,,,,,
Dec.,Delaware,39096,,,,,,,,,,
Nov.,Delaware,30816,,,,,,,,,,
Oct.,Delaware,24751,,,,,,,,,,
Sep.,Delaware,20613,,,,,,,,,,
Aug.,Delaware,17343,,,,,,,,,,
Jul.,Delaware,14689,,,,,,,,,,
Jun.,Delaware,11474,,,,,,,,,,
May,Delaware,9422,,,,,,,,,,
Apr.,Delaware,4734,,,,,,,,,,
Dec.,Florida,1032552,,,,,,,,,,
Nov.,Florida,910065,,,,,,,,,,
Sep.,Florida,698051,,,,,,,,,,
Aug.,Florida,614753,,,,,,,,,,
Jul.,Florida,454457,,,,,,,,,,
Jun.,Florida,149889,,,,,,,,,,
May,Florida,53640,,,,,,,,,,
Apr.,Florida,32529,,,,,,,,,,
Dec.,Georgia,442017,,,,,,,,,,
Nov.,Georgia,399410,,,,,,,,,,
Oct.,Georgia,358225,,,,,,,,,,
Sep.,Georgia,318026,,,,,,,,,,
Aug.,Georgia,268973,,,,,,,,,,
Jul.,Georgia,182286,,,,,,,,,,
Jun.,Georgia,81291,,,,,,,,,,
